Data,IPCA - geral - índice (dez. 1993 = 100) - - - Instituto Brasileiro de Geografia e Estatística- Sistema Nacional de Índices de Preços ao Consumidor (IBGE/SNIPC) - PRECOS12_IPCA12,
1979,,
1980,2.24108886844907E-10,
1981,4.38408626852318E-10,
1982,8.97818926456497E-10,
1983,2.37034991961047E-09,
1984,7.47284398820658E-09,
1985,2.55742986770053E-08,
1986,4.59479350446682E-08,
1987,2.12928025901817E-07,
1988,2.30007725367511E-06,
1989,4.76785687371093E-05,
1990,0.000820532180447553,
1991,0.00469918779741986,
1992,0.0572878337212307,
1993,1.4763917576001,
1994,15.0069316593019,
1995,18.3697091655877,
1996,20.1267629963075,
1997,21.1782492060703,
1998,21.5287446093246,
1999,23.4533689045321,
2000,24.8546123216703,
2001,26.7618151941381,
2002,30.1151437931752,
2003,32.9160065965184,
2004,35.4174571514202,
2005,37.4324366221928,
2006,38.6083826571213,
2007,40.3294125289557,
2008,42.7099465989101,
2009,44.5514500381647,
2010,47.1838565419657,
2011,50.2523891709617,
2012,53.1864225108404,
2013,56.3301034802983,
2014,59.9394384101032,
2015,66.3367915349602,
2016,70.5080411677078,
2017,72.5862102057057,
2018,75.3049856273262,
2019,78.5477324837191,
2020,82.0960924339352,
2021,90.3557661218289,
2022,95.582931139612,
2023,100,
2024,104.831196748395,
2025,,
