Data,IPCA - geral - índice (dez. 2024 = 100),
2000,23.7091754101824,
2001,25.5284839095838,
2002,28.7272727272727,
2003,31.3990564044786,
2004,33.7852263925076,
2005,35.7073445532005,
2006,36.829096542497,
2007,38.4708119146539,
2008,40.741637912823,
2009,42.4982747693824,
2010,45.0093655376382,
2011,47.9364833462432,
2012,50.7353003309626,
2013,53.7341032321668,
2014,57.177100204211,
2015,63.2796281951975,
2016,67.2586437574819,
2017,69.2410393634251,
2018,71.8345186958665,
2019,74.9278219843673,
2020,78.312654038448,
2021,86.19167664249,
2022,91.1779452151257,
2023,95.391451306246,
2024,100,
