Sigla,Código,Estado,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
AC,12,Acre,49.663922459,81.3495154426,87.3883062009,93.2463945423,120.5349631071,105.0051911496,71.3998257147,88.5968703752,89.5917025679,97.5810045023,94,89.5506468585238,107.763712203762,113.765644471066,185.895439192405,284.603715228545,146.542728664206,181.127797691372,180.366008023549,159.008959878092,140.899344499982,163.849358525571,212.399559750689,227.736867239727,209.162409827774,
AL,27,Alagoas,135.4470612517,229.4473512487,117.7842387923,637.7387341011,661.39697705,945.046720347501,810.994246797,744.2137111512,605.0348744853,794.743070003001,988,1017.36920451642,666.253427037544,958.654556556885,1169.22329809509,903.873967882463,1374.71035937374,1593.43508509572,2227.63731987526,3003.19042596609,3718.79281157818,3766.20120964191,3214.80062399981,4053.8797821937,5647.77896819326,
AM,13,Amazonas,6.7723530626,6.257655034,7.5989831478,9.9906851294,10.8172402789,10.0689909323,9.4301656604,8.8596870374,323.4609521283,353.4600829753,998,985.057115443762,963.886536933649,792.381691560712,768.662887454311,667.275698596082,588.70845108391,558.069430724767,614.884118262098,642.778268906493,614.257816471833,701.144548448457,639.348472366953,771.933941379899,1728.44567669354,
AP,16,Amapá,,,,,,,,,87.2646453584,83.4859705186,96,104.321887577456,102.632106860726,120.130156049867,118.028850280892,120.013614855411,126.242437247519,153.5914770964,170.996345269079,189.911761267828,202.641753887615,205.862014557769,196.061132077559,204.840521520831,220.191689442044,
BA,29,Bahia,9201.3703610403,5588.0859454025,7374.81314503171,12863.0071042555,12229.6627952703,12714.2586927563,12675.4898141395,15439.9031672092,11788.8718236066,11330.2388561102,13574,9519.14144080658,7153.45784819258,9493.46458372889,14583.9398128328,25460.7169435541,23027.508691697,22470.8614419681,15090.4274699962,13489.9156102937,27344.4993781108,28173.2203279026,28852.3733948786,22449.4581140604,19653.7823697868,
CE,23,Ceará,3252.9869210652,3018.2756114232,8716.0336706342,12390.1146747921,15901.3432099203,10011.4538411128,14461.8326235302,12314.9649821251,15344.615239808,18488.3476530514,12003,15538.4220337713,10329.0662879749,9803.73452319544,10820.2948495008,8619.03492287314,7907.59789090618,12232.8574447575,12189.3456396434,11014.3202844178,21020.9156884356,26811.0766578809,35320.2409603231,22953.995446509,29197.2604588778,
DF,53,Distrito Federal,361.1921633382,204.416731112,252.6661896674,489.5435713464,489.8664526282,553.7945012684,509.2289456632,464.5007346803,587.5819454127,574.6436931807,494,148.635609734251,171.053511434543,159.112789470022,176.305595107083,285.975299398321,168.111788294435,206.216445344569,145.81537661644,233.175683213457,347.23508869284,261.878889267366,473.814402520768,399.050596815033,315.516177536811,
ES,32,Espírito Santo,2298.0851392393,2194.3510319389,3132.6808027201,3363.5306602709,3863.3000995923,3227.8308073918,4605.9623418587,2924.9623919537,3278.8236082636,3782.890274543,4879,4676.94409263177,5065.74974113398,5094.79151883012,5390.2300562655,5645.44044279851,3945.23476001167,3967.06592038231,3818.72317636871,3705.52682118735,3898.74291073359,4678.34265282985,5231.7365243854,4876.9216381247,4850.51961321885,
GO,52,Goiás,2255.1935698432,2336.1912127113,2790.7265610647,2907.2893726893,3623.7754934174,4000.2662546168,5165.0364488689,5337.3286053066,4181.7218055711,4596.0653120625,4004,4380.5960757082,3915.41487673668,3683.46107623102,3835.19995381474,3445.41943447761,5226.69065569001,4399.69211284109,4589.96354184603,4352.80004302326,4317.74695392829,4279.68922781322,4211.87467068371,5038.01378478979,4785.52564406332,
MA,21,Maranhão,823.9696226153,836.4398895507,1196.8398457933,2196.2856143059,2572.9578663282,2213.7395777975,2540.7560622238,2095.948819157,3030.9920154458,4206.8255274361,5077,5076.69079458786,5005.88101213189,5478.25334145287,6369.13183328265,7658.92600402985,11030.670848542,14914.2831524723,12566.4745655108,12680.8240829988,13468.8163658167,18016.4273284742,16778.2753444355,15219.5280900028,17768.1694585899,
MG,31,Minas Gerais,18962.5885752559,17266.9561239495,20650.2367044053,22106.0559632538,20758.2840951272,19702.1383996794,22532.7072623332,20405.1249169468,19419.2924137407,19746.0583777513,20186,21622.3268048813,19359.8364241616,20113.4477169055,22974.3157071757,28378.0764726679,32696.7912471075,31641.0681183293,27824.9703611653,25693.7128136583,26434.7223372195,31723.2897626233,38398.3147422162,35311.8891849663,36390.320281599,
