Sigla,Código,Município,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
AC,1200013,Acrelândia,,,,,,,,,,,,,,2.3866918421,2.2130409428,1.3715841698,0.6343841068,,,,,,,,,
AC,1200054,Assis Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,1200104,Brasiléia,,,,,,,,,,,,,,2.3866918421,3.6884015713,4.8005445942,,,,,,,,,,
AC,1200138,Bujari,,,,14.9860276944,15.4532003983,11.5074182081,5.3886660916,22.7820523822,25.5976293051,26.0216012006,23,23.0800636233,22.2369564865,18.2979707891,25.8188109989,50.0628221968,60.2664901433,41.6104400102,39.8210667065,24.7222411118,10.5542580149799,8.40253120643956,17.1983449190842,23.714072351713,20.4829478550739,
AC,1200179,Capixaba,,,,,,,,,,,,,,9.5467673682,4.4260818855,15.0874258675,10.7845298151,5.507264119,5.2704352994,3.9330838132,3.69399030524298,,,,,
AC,1200203,Cruzeiro do Sul,,,,,,,,,,,,,,,,7.5437129338,10.7845298151,15.2979558861,15.225701976,16.8560734853,15.8313870224699,14.0042186773993,12.8987586893131,12.6747628086742,13.3926966744714,
AC,1200252,Epitaciolândia,,,,,,,,,,,,,,,,,6.3438410677,22.6409747114,21.6673451197,12.9229896721,12.1373967172269,8.40253120643956,2.14979311488552,2.45317989845307,1.96951421683403,
AC,1200302,Feijó,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,1200328,Jordão,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,1200336,Mâncio Lima,,,,,,,,,,,,,,,,3.4289604244,4.4406887474,4.8953458836,4.6848313772,4.4949529294,4.74941610674097,4.20126560321978,3.43966898381683,3.6797698476796,4.33293127703486,
AC,1200344,Manoel Urbano,,,,,,,,,,,,,,0.7955639474,0.7376803143,0.6857920849,,,,,,,,,,
AC,1200351,Marechal Thaumaturgo,,,,,,,,,,,,,,,53.1129826264,49.3770301119,36.159894086,34.8793394203,38.06425494,42.1401837133,42.2170320599198,42.4794633214444,45.1456554125959,42.5217849065199,40.1780900234142,
AC,1200385,Plácido de Castro,,2.0858850114,,,,,,,,,,,,2.3866918421,3.6884015713,4.1147525093,4.4406887474,40.3866035393,38.6498588622,38.7689690162,36.4121901516808,24.2739790408254,33.9667312151912,18.398849238398,11.8170853010042,
AC,1200393,Porto Walter,,,,,,,,,,,,,,,11.0652047138,12.344257528,,,,,,,,,,
AC,1200401,Rio Branco,49.663922459,79.2636304312,87.3883062009,78.2603668479,105.0817627088,93.4977729415,66.0111596231,63.2834788393,61.6670160532,69.390936535,69,64.6241781453,82.9609530458,74.7830110509,67.1289085973,118.6420306856,,1.8357547063,1.7568117665,1.6856073485,1.58313870224699,8.40253120643956,30.9570208543515,45.7926914377906,53.1768838545188,
AC,1200427,Rodrigues Alves,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,1200435,Santa Rosa do Purus,,,,,,,,,,,,,,,0.7376803143,,,,,,,,,,,
AC,1200450,Senador Guiomard,,,,,,,,2.5313391537,2.3270572096,2.1684667667,2,1.8464050899,1.7105351143,2.3866918421,2.950721257,3.4289604244,3.1719205339,4.8953458836,5.2704352994,5.0568220456,4.74941610674097,44.8134997676776,42.1359450517562,55.6054110316029,59.0854265050209,
AC,1200500,Sena Madureira,,,,,,,,,,,,,,,6.6391228283,9.6010891884,4.4406887474,3.6715094127,3.5136235329,3.3712146971,3.16627740449398,3.2676510247265,7.73925521358787,7.76840301176805,,
AC,1200609,Tarauacá,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,1200708,Xapuri,,,,,,,,,,,,,,,,,,6.1191823544,6.4416431437,6.1805602779,6.33255480898797,5.60168747095971,6.01942072167945,5.31522311331498,4.72683412040167,
AC,1200807,Porto Acre,,,,,,,,,,,,,,,3.6884015713,4.8005445942,5.0750728542,,,,,,10.3190069514505,10.2215829102211,,
AL,2700102,Água Branca,,4.1717700228,9.498728935,11.6557993177,20.0891605178,14.3842727601,16.1659982749,20.2507132286,16.2894004669,21.6846676672,23,27.696076348,6.8421404574,19.0935347364,29.5072125702,21.9453467164,7.6126092813,9.7906917671,8.1984549102,25.8459793441,29.5519224419438,35.4773539827448,25.7975173786262,11.8570361758565,128.018424094212,
AL,2700201,Anadia,,,,,,1.4384272761,1.3471665229,1.2656695768,1.1635286048,1.0842333834,1,0.9232025449,0.8552675572,0.7955639474,0.7376803143,0.6857920849,0.6343841068,0.6119182354,1.7568117665,1.6856073485,1.05542580149799,1.86722915698657,1.71983449190842,,,
AL,2700300,Arapiraca,22.5745102086,56.3188953065,,21.6464844473,27.8157607172,20.1379818642,20.2074978438,30.3760698428,19.7799862812,48.7905022512,57,24.9264687132,20.5264213721,28.6403021046,33.9332944558,47.3196538573,13.956450349,7.3430188253,31.6226117963,39.3308381324,37.9953288539278,70.0210933869963,41.276027805802,22.0786190860776,19.6951421683403,
AL,2700409,Atalaia,,,,,,,,,,,,,,,,,,,,,,11.2033749419194,8.59917245954208,8.99499296099459,12.9987938311046,
AL,2700508,Barra de Santo Antônio,,,,,,,8.0829991375,7.5940174608,6.9811716287,6.5054003002,1,0.9232025449,,,,6.172128764,60.9008742501,58.7441506026,105.4087059878,101.1364409119,94.9883221348195,116.701822311661,52.8849106261838,44.9749648049729,4.72683412040167,
AL,2700607,Barra de São Miguel,,,,,,,,3.7970087303,6.9811716287,,8,9.2320254493,,3.1822557894,3.6884015713,13.0300496129,23.4722119505,8.5668552962,,,,,,2.45317989845307,19.3012393249735,
AL,2700706,Batalha,,,26.5964410175,6.6604567529,,,,16.4537044983,,2.1684667667,14,9.2320254493,,,,,4.4406887474,3.0595911772,4.0992274551,16.8560734853,13.7205354194739,25.6744009085653,9.45908970549628,8.99499296099459,3.15122274693445,
AL,2700805,Belém,,,,,,,,2.5313391537,2.3270572096,2.1684667667,1,0.9232025449,0.8552675572,0.7955639474,0.7376803143,0.6857920849,13.3220662422,12.2383647089,25.1809686526,25.8459793441,24.2747934344539,42.0126560321978,32.2468967232828,26.9849788829838,36.6329644331129,
AL,2700904,Belo Monte,,,,,,,,,,,6,5.5392152696,,,,,,,7.0272470659,8.9899058588,7.91569351123496,13.070604098906,11.1789241974047,13.4924894414919,4.33293127703486,
AL,2701001,Boca da Mata,,,,,,1.4384272761,1.3471665229,1.2656695768,3.4905858143,2.1684667667,2,1.8464050899,1.7105351143,1.5911278947,2.2130409428,2.7431683396,1.9031523203,0.6119182354,1.1712078443,1.1237382324,1.05542580149799,2.33403644623321,2.14979311488552,4.90635979690614,5.12073696376848,
AL,2701100,Branquinha,,,,3.3302283765,3.0906400797,4.3152818282,5.3886660916,5.0626783071,3.4905858143,5.4211669168,6,5.5392152696,5.131605343,3.9778197368,2.950721257,3.4289604244,8.246993388,13.4622011798,17.5681176646,55.6250425015,52.2435771741507,49.0147653708974,25.7975173786262,47.0192813870172,71.6903174927587,
AL,2701209,Cacimbinhas,,,,,,1.4384272761,2.6943330459,2.5313391537,1.1635286048,1.0842333834,10,8.3088229044,3.4210702287,2.3866918421,2.2130409428,,,,,,,,,1.63545326563538,3.54512559030125,
AL,2701308,Cajueiro,,,,6.6604567529,7.7266001992,1.4384272761,1.3471665229,1.2656695768,1.1635286048,3.2527001501,4,1.8464050899,2.5658026715,4.7733836841,4.4260818855,6.172128764,6.9782251745,9.1787735317,8.7840588323,8.9899058588,10.0265451142309,12.1369895204127,9.88904832847339,8.58612964458574,11.0292796142706,
AL,2701357,Campestre,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,2701407,Campo Alegre,,,,,,,,,,5.4211669168,6,6.4624178145,5.131605343,3.9778197368,3.6884015713,4.8005445942,3.8063046406,4.2834276481,2.9280196108,4.4949529294,4.22170320599198,3.73445831397314,3.86962760679393,4.90635979690614,4.72683412040167,
AL,2701506,Campo Grande,,,,,,,,,,,,,,,,,6.9782251745,3.6715094127,8.1984549102,6.1805602779,8.44340641198395,,,,,
AL,2701605,Canapi,,,,,,,,,,,,,,,4.4260818855,4.8005445942,3.1719205339,3.0595911772,2.3424156886,5.6186911618,7.38798061048596,10.7365676526728,10.7489655744276,13.4924894414919,12.9987938311046,
AL,2701704,Capela,,,,,,,,,,,,,,,,,,1.2238364709,2.3424156886,1.1237382324,1.05542580149799,1.40042186773993,0.859917245954208,1.22658994922653,4.33293127703486,
AL,2701803,Carneiros,,,,,,1.4384272761,,,,4.3369335334,2,,,6.3645115788,7.3768031426,3.4289604244,3.1719205339,2.4476729418,1.7568117665,1.6856073485,1.58313870224699,4.20126560321978,6.44937934465656,6.13294974613267,7.09025118060251,
AL,2701902,Chã Preta,18.0596081669,16.6870800907,,14.9860276944,16.9985204383,14.3842727601,8.0829991375,6.328347884,6.9811716287,7.5896336835,10,5.5392152696,5.131605343,10.3423313156,11.0652047138,9.6010891884,6.9782251745,6.7311005899,4.6848313772,42.1401837133,49.0772997696567,30.3424738010317,30.9570208543515,29.029295465028,45.6927298305495,
AL,2702009,Coité do Nóia,,,,6.6604567529,,,4.0414995688,,,11.926567217,9,6.4624178145,,,30.9825731987,21.9453467164,30.450437125,16.521792357,32.7938196406,58.9962571986,61.7424093876327,87.7597703783687,77.3925521358787,77.2751668012717,98.4757108417015,
AL,2702108,Colônia Leopoldina,,,,,,,,,,,,,,3.1822557894,,,,,,11.2373823235,13.1928225187249,14.0042186773993,12.8987586893131,12.2658994922653,11.8170853010042,
AL,2702207,Coqueiro Seco,,,,3.3302283765,4.6359601195,4.3152818282,2.6943330459,2.5313391537,3.4905858143,3.2527001501,3,3.6928101797,1.7105351143,,18.4420078564,3.4289604244,1.2687682135,8.5668552962,8.1984549102,5.6186911618,8.44340641198395,,11.6088828203818,6.95067637895036,7.87805686733612,
AL,2702306,Coruripe,,,,21.6464844473,6.1812801594,20.1379818642,12.1244987063,8.8596870374,8.1447002334,8.6738670669,10,10.1552279943,10.2632106861,8.7512034209,10.3275243996,13.7158416978,12.6876821354,36.7150941266,32.2082157185,71.9192468707,47.4941610674097,70.0210933869963,56.7545382329777,66.6447205746417,70.9025118060251,
AL,2702355,Craíbas,4.5149020417,,3.7994915739,3.3302283765,,10.0689909322,5.3886660916,3.7970087303,3.4905858143,2.1684667667,8,6.4624178145,,,,,,4.2834276481,4.6848313772,3.9330838132,4.22170320599198,5.60168747095971,6.01942072167945,9.81271959381228,7.87805686733612,
AL,2702405,Delmiro Gouveia,,,,,4.6359601195,24.4532636924,18.8603313208,12.656695768,22.1070434908,26.0216012006,36,72.0097985048,20.5264213721,23.8669184205,31.720253513,21.2595546315,9.5157616016,14.6860376507,1.7568117665,13.4848587882,14.2482483202229,20.5395207268523,52.0249933802296,35.5711085275695,44.9049241438159,
AL,2702504,Dois Riachos,,,,,,1.4384272761,1.3471665229,2.5313391537,1.1635286048,1.0842333834,2,0.9232025449,,,0.7376803143,,,,,,,,,,1.18170853010042,
AL,2702553,Estrela de Alagoas,,,,,,1.4384272761,2.6943330459,1.2656695768,1.1635286048,1.0842333834,27,32.3120890727,13.6842809148,11.1378952629,10.3275243996,15.0874258675,11.4189139219,7.3430188253,6.4416431437,7.3042985103,26.3856450374499,56.0168747095971,53.744827872138,24.5317989845307,37.8146729632134,
AL,2702603,Feira Grande,4.5149020417,4.1717700228,,3.3302283765,7.7266001992,,12.1244987063,1.2656695768,1.1635286048,9.7581004502,7,1.8464050899,,,,,,,,,,,,,1.57561137346722,
AL,2702702,Feliz Deserto,,,,,9.2719202391,4.3152818282,4.0414995688,7.5940174608,12.7988146526,3.2527001501,17,28.6192788929,76.9740801455,28.6403021046,51.6376219979,10.2868812733,21.5690596302,11.014528238,19.9105333532,21.3510264147,26.3856450374499,12.6037968096593,9.45908970549628,9.40385627740343,12.6048909877378,
