Sigla,Código,Estado,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
AC,12,Acre,1800,3305,3300,4483,4927,4279,3704,4766,5060,5966,5203,5289,6300,7513,9139,9567,4752,5760,5803,4914,4574,6092,8578,9003,8637,
AL,27,Alagoas,13941,21200,14513,85696,116098,183946,163885,169509,155075,169609,203025,213120,133697,146498,185950,142823,168889,216311,264748,331471,372098,403386,423263,515190,538635,
AM,13,Amazonas,498,505,600,1018,1043,1043,1085,1152,19040,21392,45449,48394,43267,36700,37968,35655,33310,30838,32577,32542,32898,34686,33532,34377,67267,
AP,16,Amapá,,,,,,,,,7753,7599,7752,8104,8305,9458,9680,10468,11379,13458,14782,15585,16521,18199,18245,19378,20054,
BA,29,Bahia,520908,688105,873278,1418628,1494713,1775414,2046930,2199615,2194679,1922081,2396863,2646399,1595087,2057561,2857076,4595530,3579469,3407361,3039843,3708261,5017609,4588657,5029007,4821501,4550258,
CE,23,Ceará,654791,671873,1373377,1895918,2933133,2311626,3053053,3137465,4072702,4734959,2760342,4165291,2016621,1834826,1931726,1357080,1149390,1776231,2113192,2677489,3897743,3754811,5398805,5647799,6058617,
DF,53,Distrito Federal,20000,14060,19060,24500,26430,27479,31478,30605,36084,37860,35265,16050,20000,20000,19950,24558,17660,14325,11069,13826,21944,22423,36739,32532,24080,
ES,32,Espírito Santo,176655,179725,275957,312455,352626,333494,403224,306683,330929,366625,467955,462926,487170,690472,813997,870240,544853,583029,620407,660758,687504,708901,804348,811258,846007,
GO,52,Goiás,117371,128222,155133,178845,224616,244580,308005,314530,322010,301335,314867,334440,315019,343683,355197,320860,432722,319212,337655,331178,329167,366191,316321,402259,443476,
MA,21,Maranhão,132478,133026,158076,285863,436161,517533,558775,537408,780514,747563,1118997,1107223,1107828,1136547,1205153,1286316,1710718,2355873,2261672,2337026,2477212,2381960,2572768,3186374,3362409,
MG,31,Minas Gerais,2100982,2068024,2408189,2194385,2134370,2207925,2482174,2624908,2862052,2605800,3076439,3075632,3398782,3308030,3820812,4414854,4906589,4560848,4077462,4226823,4103316,4584133,6164784,6862976,7325594,
MS,50,Mato Grosso do Sul,302786,340363,334428,407471,365589,450614,485325,641149,646222,430482,512417,686486,820961,769261,837099,785014,835328,1157465,714343,977724,968759,902961,719481,803524,766805,
MT,51,Mato Grosso,191547,188188,174845,241112,300089,374786,365006,346339,493879,315021,428035,379281,405619,430960,470589,456753,413862,480949,466214,471636,536552,440216,435685,563015,760713,
PA,15,Pará,83354,78285,91621,149385,199419,223597,261159,359308,397423,354688,401656,413895,435791,465300,496991,531559,523999,500712,558604,670284,627456,638767,740358,727331,745689,
PB,25,Paraíba,30036,32364,41228,58643,73031,87607,263964,207545,222224,272558,269900,303078,188172,160142,319994,191612,156563,156438,199227,199603,278910,310721,357594,364192,403779,
PE,26,Pernambuco,344325,320109,575016,653418,883196,1028772,1161579,1176857,1382104,1774685,2094397,2349890,635513,502539,392594,385680,372100,255809,616426,769814,938426,1248305,1658340,1200054,1616366,
PI,22,Piauí,1862739,1741078,2221510,3146358,3894437,4497392,4195910,3483109,4143804,4278146,3262456,5107769,1563110,1267003,3249588,3966914,3048800,4404654,5224833,5024344,5672514,6875615,8321923,8829805,8614225,
PR,41,Paraná,2870955,2925432,2843995,4068191,4348301,4462022,4612372,4632241,4634976,4831491,5467799,5204851,5496340,5565435,5688178,6287264,5993565,5962813,6307107,7202539,7890115,8418363,8799569,8488483,9822960,
RJ,33,Rio de Janeiro,405556,385255,359672,374715,367146,335041,377934,320364,314627,317775,350575,382860,376632,372680,312843,292299,353552,357178,412375,424694,411881,437781,426282,409337,403987,
RN,24,Rio Grande do Norte,171084,160749,247048,372791,515215,447882,585366,611393,1065455,1107409,885835,904106,406266,331213,312210,260119,203967,174900,364847,479257,598883,582488,728559,909400,1190489,
RO,11,Rondônia,164619,174865,192352,194057,102315,110744,129650,154758,160600,168403,171990,184770,175673,163158,192163,96787,89981,81147,81305,98024,98262,171663,187910,219514,237592,
RR,14,Roraima,4720,4720,12530,70000,121800,202240,160351,129815,132530,133125,133560,132135,131986,133080,186770,142800,142800,97332,110000,113900,126600,145210,157350,165000,85692,
RS,43,Rio Grande do Sul,5815448,6030420,5604663,6777865,7317410,7427944,7819993,7364965,7418327,7155221,7098492,6985275,6774295,7286381,5991105,4962356,6283676,6318021,6567112,6550138,8205356,9212224,9140338,9114441,8064092,
SC,42,Santa Catarina,3983695,3774749,3828784,4511043,3600652,3925556,3990118,3470963,3706463,4514601,3965962,3990442,4388589,4886614,4783425,2869508,4869268,4200031,3753299,4080789,4296382,4573934,4753775,4234093,4293705,
SE,28,Sergipe,17806,31000,55960,50343,55207,60744,73462,75522,135613,136611,124713,114375,53738,97340,100867,119177,68489,58473,41308,61251,84944,99020,135264,159786,192461,
SP,35,São Paulo,1830345,2053218,2092777,2454301,2333208,2395842,2541586,2332187,2061425,2188741,2316558,2417209,2821915,3223637,3781117,3321888,3662399,4132911,4124114,4537307,4704336,4636786,5018546,5524789,6772329,
TO,17,Tocantins,46705,55835,70740,90920,89330,111564,117780,113960,134864,129885,156171,153485,124827,118497,119235,121512,99313,73668,87028,87754,93173,115041,106792,108772,98068,
